# ell   Cl_EE[μK^2]   Cl_BB[μK^2]
1.900000000000000000e+02 1.750568635793313418e-05 3.548013010638865503e-09
1.910000000000000000e+02 1.712557635306557736e-05 3.462609953866933172e-09
1.920000000000000000e+02 1.676443625184361036e-05 3.381686009572086175e-09
1.930000000000000000e+02 1.642243466156693518e-05 3.305088325963754845e-09
1.940000000000000000e+02 1.609974018953527758e-05 3.232664051251368685e-09
1.950000000000000000e+02 1.579652144304833619e-05 3.164260333644355959e-09
1.960000000000000000e+02 1.551294702940583675e-05 3.099724321352146586e-09
1.970000000000000000e+02 1.524918555590749146e-05 3.038903162584169655e-09
1.980000000000000000e+02 1.500540562985300911e-05 2.981644005549855086e-09
1.990000000000000000e+02 1.478177585854210189e-05 2.927793998458631556e-09
2.000000000000000000e+02 1.457846484927449217e-05 2.877200289519929809e-09
2.010000000000000000e+02 1.439564120934988872e-05 2.829710026943176454e-09
2.020000000000000000e+02 1.423347354606800376e-05 2.785170358937803065e-09
2.030000000000000000e+02 1.409213046672854947e-05 2.743428433713238733e-09
2.040000000000000000e+02 1.397178057863124480e-05 2.704331399478912133e-09
2.050000000000000000e+02 1.387259248907580366e-05 2.667726404444252358e-09
2.060000000000000000e+02 1.379473480536193144e-05 2.633460596818688498e-09
2.070000000000000000e+02 1.373837613478934881e-05 2.601381124811651298e-09
2.080000000000000000e+02 1.370368508465776796e-05 2.571335136632569436e-09
2.090000000000000000e+02 1.369083026226690277e-05 2.543169780490872002e-09
2.100000000000000000e+02 1.369998027491646713e-05 2.516732204595989328e-09
2.110000000000000000e+02 1.373130372990617322e-05 2.491869557157348437e-09
2.120000000000000000e+02 1.378496923453573663e-05 2.468428986384380487e-09
2.130000000000000000e+02 1.386110121277869253e-05 2.446272980224070107e-09
2.140000000000000000e+02 1.395964735530389179e-05 2.425325385573625308e-09
2.150000000000000000e+02 1.408051116945400149e-05 2.405525389067808813e-09
2.160000000000000000e+02 1.422359616257168871e-05 2.386812177341383344e-09
2.170000000000000000e+02 1.438880584199962731e-05 2.369124937029113691e-09
2.180000000000000000e+02 1.457604371508048438e-05 2.352402854765762162e-09
2.190000000000000000e+02 1.478521328915693545e-05 2.336585117186091894e-09
2.200000000000000000e+02 1.501621807157164255e-05 2.321610910924867262e-09
2.210000000000000000e+02 1.526896156966728459e-05 2.307419422616850989e-09
2.220000000000000000e+02 1.554334729078652190e-05 2.293949838896805796e-09
2.230000000000000000e+02 1.583927874227203679e-05 2.281141346399495648e-09
2.240000000000000000e+02 1.615665943146648957e-05 2.268933131759683678e-09
2.250000000000000000e+02 1.649539286571255072e-05 2.257264381612133024e-09
2.260000000000000000e+02 1.685538255235289747e-05 2.246074282591607647e-09
2.270000000000000000e+02 1.723653199873019352e-05 2.235302021332869857e-09
2.280000000000000000e+02 1.763874471218710935e-05 2.224886784470684029e-09
2.290000000000000000e+02 1.806192420006632219e-05 2.214767758639812473e-09
2.300000000000000000e+02 1.850597396971049235e-05 2.204884130475019151e-09
2.310000000000000000e+02 1.897079752846229708e-05 2.195175086611067199e-09
2.320000000000000000e+02 1.945629838366440007e-05 2.185579813682720580e-09
2.330000000000000000e+02 1.996238004265947857e-05 2.176037498324740360e-09
2.340000000000000000e+02 2.048894601279019966e-05 2.166487327171892573e-09
2.350000000000000000e+02 2.103589980139923381e-05 2.156868486858939111e-09
2.360000000000000000e+02 2.160314491582924809e-05 2.147120164020643524e-09
2.370000000000000000e+02 2.219058486342291638e-05 2.137181545291768535e-09
2.380000000000000000e+02 2.279808152361661064e-05 2.127001778724575037e-09
2.390000000000000000e+02 2.342533026422151911e-05 2.116569858041307094e-09
2.400000000000000000e+02 2.407198482514252811e-05 2.105884738381706943e-09
2.410000000000000000e+02 2.473769894628452060e-05 2.094945374885515579e-09
2.420000000000000000e+02 2.542212636755239986e-05 2.083750722692474411e-09
2.430000000000000000e+02 2.612492082885104546e-05 2.072299736942325675e-09
2.440000000000000000e+02 2.684573607008535051e-05 2.060591372774810367e-09
2.450000000000000000e+02 2.758422583116020474e-05 2.048624585329669894e-09
2.460000000000000000e+02 2.834004385198049110e-05 2.036398329746646080e-09
2.470000000000000000e+02 2.911284387245109256e-05 2.023911561165479507e-09
2.480000000000000000e+02 2.990227963247693270e-05 2.011163234725913237e-09
